Order Id,Product Id,Prod. Costs,Rent Costs,Sales Date,Fiscal Year,Total Cost,Customer Id,Volume (LB),Volume,Industry,Revenue,Year Month,ID,State,LOCATION_ID,Plant
32882015,BL01-CA03-1076,445.16,0.0,2022-01-21 00:00:00,2023,95.84,4564.0,5290,0,3085.0,"445,16",202201,4564,SP,LOSP01983,SP001
32884082,BL01-CA06-1051,228.0,0.0,2022-01-05 00:00:00,2023,20.05,4564.0,1566,0,5020.0,"228,55",202201,4564,SP,LOSP01983,SP001
32884308,BL01-CA06-1051,224.8,0.0,2022-01-07 00:00:00,2023,36.84,4564.0,1044,0,5020.0,"224,80",202201,4564,SP,LOSP01983,SP001
32887461,BL01-CA09-1063,-1421.12,0.0,2022-01-07 00:00:00,2023,0.0,4564.0,0,0,5025.0,"-1421,12",202201,4564,SP,LOSP01983,SP001
32888294,BL01-CA09-1063,638.0,0.0,2022-01-24 00:00:00,2023,31.98,4564.0,674,0,4030.0,"671,58",202201,4564,SP,LOSP01983,SP001
32888412,BL01-CA09-1063,225.0,0.0,2022-01-25 00:00:00,2023,33.11,4564.0,2022,0,5020.0,"250,00",202201,4564,SP,LOSP01983,SP001
32889413,BL01-CA07-1055,239.99,0.0,2022-01-24 00:00:00,2023,45.0,4564.0,262,0,3085.0,"239,99",202201,4564,SP,LOSP01983,SP001
32891682,BL01-CA04-1042,217.9,0.0,2022-01-18 00:00:00,2023,27.74,4564.0,436,0,3085.0,"217,90",202201,4564,SP,LOSP01983,SP001
32891732,BL01-CA04-1042,654.0,0.0,2022-01-18 00:00:00,2023,66.39,4564.0,3529,0,5020.0,"679,00",202201,4564,SP,LOSP01983,SP001
32892065,BL01-CA04-1042,671.51,0.0,2022-01-24 00:00:00,2023,94.0,4564.0,228,0,4030.0,"674,08",202201,4564,SP,LOSP01983,SP001
32892183,BL01-CA04-1042,654.0,0.0,2022-01-25 00:00:00,2023,66.39,4564.0,3529,0,5020.0,"679,00",202201,4564,SP,LOSP01983,SP001
32895018,BL01-CA06-1053,280.42,0.0,2022-01-24 00:00:00,2023,106.0,4564.0,153,0,4030.0,"281,49",202201,4564,SP,LOSP01983,SP001
32895841,BL01-CA09-1064,420.0,0.0,2022-01-06 00:00:00,2023,116.28,4564.0,102,0,5025.0,"425,25",202201,4564,SP,LOSP01983,SP001
32892732,BL01-CA10-1067,423.74,0.0,2022-01-17 00:00:00,2023,214.0,4564.0,144,0,4030.0,"428,50",202201,4564,SP,LOSP01983,SP001
32893119,BL01-CA11-1073,186.75,0.0,2022-01-05 00:00:00,2023,73.84,4564.0,259,0,4010.0,"230,10",202201,4564,SP,LOSP01983,SP001
32894035,BL01-CA11-1073,1146.24,0.0,2022-01-24 00:00:00,2023,126.6,4564.0,1224,0,4030.0,"1150,62",202201,4564,SP,LOSP01983,SP001
32894110,BL01-CA11-1073,210.12,0.0,2022-01-25 00:00:00,2023,105.0,4564.0,229,0,5020.0,"212,20",202201,4564,SP,LOSP01983,SP001
32896696,BL02-CA01-2165,378.95,0.0,2022-01-04 00:00:00,2023,228.0,4564.0,0,0,6020.0,"378,95",202201,4564,SP,LOSP01983,SP001
32897079,BL02-CA01-2165,803.8,0.0,2022-01-13 00:00:00,4046,420.0,4564.0,0,0,3085.0,"803,80",202201,4564,SP,LOSP01983,SP001
32897219,BL02-CA01-2165,0.0,0.0,2022-01-17 00:00:00,8092,0.0,4564.0,0,0,3085.0,"0,00",202201,4564,SP,LOSP01983,SP001
32881111,BL01-CA03-1101,1730.36,0.0,2022-01-26 00:00:00,2023,678.17,2917.0,0,0,1015.0,"1769,56",202201,2917,PR,LOPR00949,SC012
32881257,BL01-CA11-1062,4333.5,0.0,2022-01-11 00:00:00,2023,2114.55,2917.0,15909,0,1015.0,"4373,45",202201,2917,PR,LOPR00949,SC012
32881421,BL01-CA11-1062,4140.9,0.0,2022-01-25 00:00:00,2023,2049.81,2917.0,15420,0,1015.0,"4186,29",202201,2917,PR,LOPR00949,SC012
32881853,BL01-CA03-1076,910.0,0.0,2022-01-15 00:00:00,2023,273.16,2917.0,12146,0,4010.0,"940,00",202201,2917,PR,LOPR00949,SC012
32881977,BL01-CA03-1076,0.0,0.0,2022-01-20 00:00:00,2023,136.58,2917.0,6073,0,4010.0,"0,00",202201,2917,PR,LOPR00949,SC012
32882855,BL01-CA03-1040,38.54,0.0,2022-01-14 00:00:00,2023,11.08,2917.0,60,0,3085.0,"39,40",202201,2917,PR,LOPR00949,SC012
32883285,BL01-CA03-1040,469.2,0.0,2022-01-25 00:00:00,2023,94.0,2917.0,60,0,1015.0,"546,92",202201,2917,PR,LOPR00949,SC012
32883396,BL01-CA03-1040,38.54,0.0,2022-01-26 00:00:00,2023,11.08,2917.0,60,0,3085.0,"42,26",202201,2917,PR,LOPR00949,SC012
32883803,BL01-CA06-1051,244.02,0.0,2022-01-04 00:00:00,2023,5.06,2917.0,261,0,3050.0,"244,02",202201,2917,PR,LOPR00949,SC012
32883982,BL01-CA06-1051,110.73,0.0,2022-01-05 00:00:00,2023,5.6,2917.0,261,0,3085.0,"114,11",202201,2917,PR,LOPR00949,SC012
32884414,BL01-CA06-1051,110.73,0.0,2022-01-10 00:00:00,2023,5.6,2917.0,261,0,3085.0,"111,74",202201,2917,PR,LOPR00949,SC012
32885067,BL01-CA06-1051,85.46,0.0,2022-01-14 00:00:00,2023,5.46,2917.0,261,0,6030.0,"89,10",202201,2917,PR,LOPR00949,SC012
32885245,BL01-CA06-1051,488.04,0.0,2022-01-18 00:00:00,2023,10.14,2917.0,522,0,3050.0,"488,04",202201,2917,PR,LOPR00949,SC012
32885744,BL01-CA06-1051,110.73,0.0,2022-01-21 00:00:00,2023,5.44,2917.0,261,0,3085.0,"114,11",202201,2917,PR,LOPR00949,SC012
32886044,BL01-CA06-1051,110.73,0.0,2022-01-25 00:00:00,2023,5.36,2917.0,261,0,3085.0,"114,45",202201,2917,PR,LOPR00949,SC012
32887156,BL01-CA09-1063,960.0,0.0,2022-01-03 00:00:00,2023,290.08,2917.0,16176,0,4015.0,"960,00",202201,2917,PR,LOPR00949,SC012
32887439,BL01-CA09-1063,319.65,0.0,2022-01-07 00:00:00,2023,21.55,2917.0,337,0,3085.0,"322,50",202201,2917,PR,LOPR00949,SC012
32887533,BL01-CA09-1063,720.0,0.0,2022-01-10 00:00:00,2023,217.56,2917.0,12132,0,4015.0,"720,00",202201,2917,PR,LOPR00949,SC012
32887827,BL01-CA09-1063,960.0,0.0,2022-01-14 00:00:00,2023,290.08,2917.0,16176,0,4015.0,"960,00",202201,2917,PR,LOPR00949,SC012
32888322,BL01-CA09-1063,480.0,0.0,2022-01-24 00:00:00,2023,145.04,2917.0,8088,0,4015.0,"480,00",202201,2917,PR,LOPR00949,SC012
32888713,BL01-CA09-1063,480.0,0.0,2022-01-31 00:00:00,2023,145.04,2917.0,8088,0,4015.0,"480,00",202201,2917,PR,LOPR00949,SC012
32889074,BL01-CA04-1044,471.0,0.0,2022-01-11 00:00:00,2023,271.0,2917.0,250,0,3085.0,"471,00",202201,2917,PR,LOPR00949,SC012
32891234,BL01-CA04-1042,559.83,0.0,2022-01-10 00:00:00,2023,100.0,2917.0,142,0,7005.0,"640,53",202201,2917,PR,LOPR00949,SC012
32891543,BL01-CA04-1042,145.76,0.0,2022-01-14 00:00:00,2023,11.1,2917.0,278,0,3085.0,"149,48",202201,2917,PR,LOPR00949,SC012
32892011,BL01-CA04-1042,238.29,0.0,2022-01-21 00:00:00,2023,10.23,2917.0,75,0,7005.0,"245,16",202201,2917,PR,LOPR00949,SC012
32898844,BL01-CA10-1096,3706.84,0.0,2022-01-18 00:00:00,2023,1636.0,2917.0,202,0,1015.0,"3793,38",202201,2917,PR,LOPR00949,SC012
32896107,BL01-CA09-1064,2952.0,0.0,2022-01-17 00:00:00,2023,734.4,2917.0,696,0,5015.0,"2967,00",202201,2917,PR,LOPR00949,SC012
32892529,BL01-CA10-1067,143.03,0.0,2022-01-04 00:00:00,2023,16.25,2917.0,300,0,1015.0,"144,42",202201,2917,PR,LOPR00949,SC012
32892634,BL01-CA10-1067,286.06,0.0,2022-01-11 00:00:00,2023,32.5,2917.0,600,0,1015.0,"288,70",202201,2917,PR,LOPR00949,SC012
32892849,BL01-CA10-1067,286.06,0.0,2022-01-25 00:00:00,2023,32.5,2917.0,600,0,1015.0,"296,19",202201,2917,PR,LOPR00949,SC012
